I0925 17:53:06.449267       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0925 17:54:21.982002    2734 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x858ac3448cbd02c4 ResponseID: I5m2aqPIHrOnnsEP3oKLoA4
I0925 17:54:32.710628    2904 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x7072c2cce2a39b5b ResponseID: M5m2aoulKOy-nsEPuPfMyAs
E0925 17:54:32.740354    2874 go_command.go:532] xcmd.Wait ([bash -c which agy-lane.sh || find /home/noah/.gemini -name "agy-lane*" 2>/dev/null]): read s1: resource temporarily unavailable; overwriting with context canceled
I0925 17:54:34.881653    2977 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x25cc14527dd73621 ResponseID: OZm2avuIEbOnnsEP3oKLoA4
I0925 17:54:37.681971    2922 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x77ad9bbf4c9d322d ResponseID: O5m2avzhMPjjnsEPsMvbgQk
I0925 17:54:39.728768    1647 run_command_handler.go:566] [sandbox-telemetry] emitting SANDBOX_COMMAND_BLOCKED event with extra=map[command_line:grep -r "paiml-lane-witness" /home/noah/.local/bin /home/noah/bin 2>/dev/null command_output: exit_code:1 platform:linux]
I0925 17:54:41.982492    3143 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1a57c9ec2f267c79 ResponseID: QJm2aorbEpGykdUPkaSx6Qw
I0925 17:54:45.150768    3223 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa631f0d84116c8af ResponseID: Q5m2avupHI6N3boP6ZSg-Qs
I0925 17:54:48.312209    3257 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3924b38ee58185dd ResponseID: Rpm2apnIDr2nnsEP3crdqAQ
I0925 17:54:54.579393    4569 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6c03884e86ff0f3e ResponseID: TJm2auLVIOD_nsEP2Ym1kA0
I0925 17:54:57.437663    4651 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x15a33b2e3df3f4b9 ResponseID: T5m2apLUOMDokdUProDT2As
I0925 17:55:00.415893    4720 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x12adc6b60d4cdbd0 ResponseID: Upm2aoeMG5WFkdUPvMq82A0
I0925 17:55:02.772982    4764 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf6cb9d7c11710a6c ResponseID: VZm2at3nFY-AkdUP0aiIiAo
I0925 17:55:06.002477    4854 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xaf77d93f2160766f ResponseID: WJm2apCSEIi0kdUP8bCc-Qw
I0925 17:55:09.610425    4814 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb9736b3423bf1367 ResponseID: W5m2aqGbDp-1kdUP-vz76Ag
I0925 17:55:15.584896    4950 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x4da7d9a6b853f08e ResponseID: Xpm2aovrII7insEP7quH-Qw
I0925 17:55:18.198674    5038 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xddb2893826404283 ResponseID: ZJm2aqGzH9SVkdUPyYuvgA0
I0925 17:55:33.215947    5131 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xecbb181fdae321b6 ResponseID: cZm2aoObHrOnnsEP3oKLoA4
I0925 17:55:35.452983    5211 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc7c63b73ba86b68c ResponseID: dZm2aorUO4P3nsEPlrCH-Qk
I0925 17:55:48.056029    5069 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x12ad4668614aee33 ResponseID: gJm2au7XKba6nsEPlNvc0Q4
I0925 17:55:51.531982    5362 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xe475f5a5c97ef9f4 ResponseID: hZm2asfCA6_KkdUPjs38uAk
I0925 17:55:56.182320    5410 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1fa449edab60a534 ResponseID: ipm2apfzBYDlnsEPkpehoQ0
I0925 17:55:59.660420    5162 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd4db00302950b81a ResponseID: jZm2apWVHPHl7M8Pg7GTuAs
I0925 17:56:04.123436    5556 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3ff558aa4a62e576 ResponseID: kZm2auKKG9LGnsEPkoqDgAk
I0925 17:56:08.244278    5472 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x2235ff7a773f0fab ResponseID: lZm2avDRDNqykdUPq-Lk4Qk
I0925 17:56:11.761781    5725 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x548e41b0a34d5421 ResponseID: mZm2atLqNOiE7M8PwIiR8Q0
I0925 17:56:17.043234    5781 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd77b3dcc7cf00f21 ResponseID: nZm2aqzJDKObkdUPrcfc8Qk
I0925 17:56:22.520591    5842 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd5638fb895d3dfdf ResponseID: o5m2arDnK7a6nsEPlNvc0Q4
I0925 17:56:29.441955    5914 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5de189e05eae945c ResponseID: qpm2asmQMKWykdUP2tPo8Qk
I0925 17:56:33.970827    5976 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xbd6342f07fd1f1f3 ResponseID: rpm2atDRIPbfnsEPyrWH4Aw
I0925 17:56:48.425242    6061 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfbeeeeda7761ff1 ResponseID: tZm2auDhE9_wnsEPvc3LgQk
I0925 17:56:58.675125    6023 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xe38f67493f93fb68 ResponseID: wpm2aqXJEPjjnsEPsMvbgQk
I0925 17:57:03.921338    6237 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x68a98dfa929e9bca ResponseID: zJm2avWVBYmznsEPybSE4As
I0925 17:57:08.731476    6309 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1b4b1a3f5e7f757d ResponseID: 0Zm2av-VB4a9kdUPm_GRyQk
I0925 17:57:13.796528    6388 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x931f38b79a2e77f3 ResponseID: 1pm2aseYHaGF7M8P1IjQsAk
I0925 17:57:20.575700    6440 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6232849d2a578da0 ResponseID: 3Jm2aunAJfjjnsEPsMvbgQk
I0925 17:57:23.819020    6517 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x13e871a84aaa2a01 ResponseID: 4pm2avGEFsafkdUPw5Cl2Qs
I0925 17:57:26.773558    6577 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x161d79a9d644514f ResponseID: 5Zm2aq-dEYKa3boPsq2YqA0
I0925 17:57:32.348283    6653 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x156f7f1ec75ff938 ResponseID: 55m2atbJL5WFkdUPvMq82A0
I0925 17:57:42.029772    6901 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb251b7998e5f22fa ResponseID: 7pm2at33BpeB3boPkaud-A0
I0925 17:57:47.207181    6964 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x91e22ff1755cb7b3 ResponseID: 95m2apicMsninsEP9vzgsQ0
I0925 17:57:50.683648    7060 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6b76876a61bedc03 ResponseID: _Jm2asrmDY-AkdUP0aiIiAo
I0925 17:57:53.728861    7272 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x4f44ebedf8a3dce4 ResponseID: _5m2asy2F_bfnsEPybWH4Aw
I0925 17:57:59.060671    7307 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x10917de33aadb49e ResponseID: A5q2apXmI4a9kdUPm_GRyQk
I0925 17:58:06.507005    7390 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1bb2aaa8e89a39d8 ResponseID: CJq2auL0K7iinsEPy8zV6Qw
I0925 17:58:11.223668    7452 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xddb29b5a12b47eb8 ResponseID: D5q2auSvI9aVkdUP1aXjoQ4
I0925 17:58:16.635093    7518 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x31dc9e1b24b6a737 ResponseID: FZq2avCfA4_jnsEP4_3FmAE
I0925 17:58:21.636022    7744 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x97f685e9d6eba070 ResponseID: Gpq2at6yNcninsEP9vzgsQ0
I0925 17:58:21.953553    7778 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x83a639bbec6ac1c7
I0925 17:58:22.303365    7779 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x8e8253d6654417ba
I0925 17:58:25.870658    8058 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x4debbe78336778bc ResponseID: H5q2avvhB9vrnsEP4tP0-A0
I0925 17:58:28.856163    8331 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xc8e91db39cd1522d ResponseID: Ipq2aoLrNdTikdUPv4TFqQ0
I0925 17:58:31.830777    8541 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xeeb1df3f7c127a0f ResponseID: JZq2arz-FpeB3boPkaud-A0
I0925 17:58:36.916819    8626 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x88d52c5f0f19d7ff ResponseID: KZq2auPhArTknsEPn4ffwA0
I0925 17:58:43.750803       1 manager.go:807] CLI store manager shutting down
I0925 17:58:43.754232       1 conversation_manager.go:844] Stopping conversation stream
I0925 17:58:43.754327    1328 server.go:1296] Stream goroutine exited for b0dc6700-9c11-4c5c-9a89-baf1b3f3bfd3, sending completion signal
I0925 17:58:43.754621    8698 server.go:2932] Language server shutting down
I0925 17:58:43.754637    8698 server.go:2937] Waiting for migrations to complete to prevent partial migration state...
